id,language,sentence,tokenized_sentence,expression,category,indices
1,tr,Takım arkadaşları ona sürekli gaz verince sahada adeta uçtu.,"['Takım', 'arkadaşları', 'ona', 'sürekli', 'gaz', 'verince', 'sahada', 'adeta', 'uçtu', '.']",gaz vermek,idiomatic,"[4, 5]"
2,tr,Dışarıdan gaz vermeseler bu kadar iddialı olmazdı.,"['Dışarıdan', 'gaz', 'vermeseler', 'bu', 'kadar', 'iddialı', 'olmazdı', '.']",gaz vermek,idiomatic,"[1, 2]"
3,tr,Arkadaşın sana gaz vermeye çalışıyor ama aldanma.,"['Arkadaşın', 'sana', 'gaz', 'vermeye', 'çalışıyor', 'ama', 'aldanma', '.']",gaz vermek,idiomatic,"[2, 3]"
4,tr,Bazı medya kuruluşları topluma gaz vermeyi alışkanlık haline getirdi.,"['Bazı', 'medya', 'kuruluşları', 'topluma', 'gaz', 'vermeyi', 'alışkanlık', 'haline', 'getirdi', '.']",gaz vermek,idiomatic,"[4, 5]"
5,tr,"Kimse bana gaz vermesin, kendi kararımı kendim veririm.","['Kimse', 'bana', 'gaz', 'vermesin', ',', 'kendi', 'kararımı', 'kendim', 'veririm', '.']",gaz vermek,idiomatic,"[2, 3]"
6,tr,Hocaları öğrencilerine gaz vererek motivasyonu artırdı.,"['Hocaları', 'öğrencilerine', 'gaz', 'vererek', 'motivasyonu', 'artırdı', '.']",gaz vermek,idiomatic,"[2, 3]"
7,tr,Onun başarısının ardında sürekli gaz veren bir çevresi var.,"['Onun', 'başarısının', 'ardında', 'sürekli', 'gaz', 'veren', 'bir', 'çevresi', 'var', '.']",gaz vermek,idiomatic,"[4, 5]"
8,tr,Gaz vermeden önce iki kere düşünmek gerekmez mi?,"['Gaz', 'vermeden', 'önce', 'iki', 'kere', 'düşünmek', 'gerekmez', 'mi', '?']",gaz vermek,idiomatic,"[0, 1]"
9,tr,"Toplantıda ona gaz verilirse, yeni projeye başlayacak gibi görünüyor.","['Toplantıda', 'ona', 'gaz', 'verilirse', ',', 'yeni', 'projeye', 'başlayacak', 'gibi', 'görünüyor', '.']",gaz vermek,idiomatic,"[2, 3]"
10,tr,"Lütfen kimseye gaz vermeyin, bu iş ciddi.","['Lütfen', 'kimseye', 'gaz', 'vermeyin', ',', 'bu', 'iş', 'ciddi', '.']",gaz vermek,idiomatic,"[2, 3]"
11,tr,Sosyal medyada gaz verilen konular hızla yayılıyor.,"['Sosyal', 'medyada', 'gaz', 'verilen', 'konular', 'hızla', 'yayılıyor', '.']",gaz vermek,idiomatic,"[2, 3]"
